Time;Location
10/07/03 18:16;46.666695,24.8351362
10/07/03 18:16;46.6666945,24.8351363
10/07/03 18:16;46.6666943,24.8351372
10/07/03 18:16;46.6666945,24.8351373
10/07/03 18:16;46.6666943,24.8351378
10/07/03 18:15;46.6666945,24.8351372
10/07/03 18:15;46.6666947,24.8351383
10/07/03 18:15;46.6666945,24.835142
10/07/03 18:15;46.6666948,24.8351415
10/07/03 18:15;46.6666955,24.8351415
10/07/03 18:15;46.666696,24.8351417
10/07/03 18:15;46.6666967,24.835142
10/07/03 18:15;46.666697,24.835144
10/07/03 18:15;46.6666972,24.8351448
10/07/03 18:15;46.6666973,24.8351453
10/07/03 18:15;46.6666982,24.8351448
10/07/03 18:15;46.6666985,24.8351453
10/07/03 18:15;46.6666987,24.8351453
10/07/03 18:15;46.6666987,24.8351453
10/07/03 18:15;46.666699,24.8351453
10/07/03 18:15;46.6666988,24.8351448
10/07/03 18:15;46.6666987,24.8351445
10/07/03 18:15;46.6666987,24.8351443
10/07/03 18:15;46.6666983,24.8351442
10/07/03 18:15;46.6666982,24.8351437
10/07/03 18:15;46.6666977,24.8351443
10/07/03 18:15;46.6666975,24.8351448
10/07/03 18:15;46.6666973,24.8351448
10/07/03 18:15;46.6666972,24.835145
10/07/03 18:15;46.6666972,24.8351447
10/07/03 18:15;46.6666975,24.8351435
10/07/03 18:15;46.6666973,24.8351433
10/07/03 18:15;46.6666975,24.8351417
10/07/03 18:15;46.6666978,24.8351412
10/07/03 18:15;46.6666977,24.8351417
10/07/03 18:15;46.6666975,24.8351415
10/07/03 18:15;46.6666972,24.8351428
10/07/03 18:15;46.666697,24.8351438
10/07/03 18:15;46.666697,24.8351442
10/07/03 18:15;46.666697,24.8351447
10/07/03 18:15;46.666697,24.8351462
10/07/03 18:15;46.6666972,24.8351472
10/07/03 18:15;46.666697,24.8351482
10/07/03 18:15;46.666697,24.8351495
10/07/03 18:15;46.6666968,24.8351508
10/07/03 18:15;46.6666968,24.8351517
10/07/03 18:15;46.6666968,24.8351522
10/07/03 18:15;46.6666967,24.8351533
10/07/03 18:15;46.6666965,24.835154
10/07/03 18:15;46.6666957,24.8351555
10/07/03 18:15;46.6666957,24.8351562
10/07/03 18:15;46.6666953,24.8351567
10/07/03 18:15;46.6666953,24.8351573
10/07/03 18:14;46.6666955,24.8351578
10/07/03 18:14;46.6666955,24.835159
10/07/03 18:14;46.6666958,24.8351587
10/07/03 18:14;46.6666958,24.8351603
10/07/03 18:14;46.6666958,24.8351612
10/07/03 18:14;46.6666957,24.8351627
10/07/03 18:14;46.6666955,24.8351638
10/07/03 18:14;46.666696,24.8351635
10/07/03 18:14;46.6666963,24.8351643
10/07/03 18:14;46.6666967,24.8351642
10/07/03 18:14;46.6666965,24.8351655
10/07/03 18:14;46.6666958,24.8351668
10/07/03 18:14;46.6666958,24.8351675
10/07/03 18:14;46.6666957,24.8351683
10/07/03 18:14;46.6666952,24.8351697
